Authors,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Author Keywords,Index Keywords,Funding Details,Funding Text,Document Type,Source,EID
"Nelson B.D., Jackson F., Amir N., Hajcak G.","Attention bias modification reduces neural correlates of response monitoring",2017,"Biological Psychology","129",,,"103","110",,,10.1016/j.biopsycho.2017.08.059,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028724042&doi=10.1016%2fj.biopsycho.2017.08.059&partnerID=40&md5=8a90ab209ca2723b5edaa184b099ce4a","The error-related negativity (ERN) is an electrophysiological response to errors. Individual differences in the ERN have been posited to reflect sensitivity to threat and linked with risk for anxiety disorders. Attention bias modification is a promising computerized intervention that has been shown to decrease threat biases and anxiety symptoms. In the present study, we examined the impact of a single session of attention bias modification, relative to a control task, on the neural correlates of response monitoring, including the ERN, correct response negativity (CRN), and their difference (i.e., the ERN – CRN or ΔERN). The final sample included 60 participants who first completed a flanker task to elicit the ERN and CRN, and were then randomly assigned to attention bias modification (n = 30) or a control task (n = 30). After completing the attention bias modification or control task, participants completed the same flanker task to again elicit the ERN and CRN. Among participants who completed attention bias modification training, the ERN, CRN, and ΔERN decreased from the pre- to post-training assessment. In contrast, in participants who completed the control task, the CRN, ERN, and ΔERN did not differ between the pre- and post-training assessment. The presents study suggests that a single session of attention bias modification reduces neural correlates of response monitoring, including error-related brain activity. These results also support attention bias modification as a potential mechanistic-based intervention for the prevention and treatment of anxiety pathology. © 2017 Elsevier B.V.","Attention bias modification; Error-related negativity; Event-related potentials; Response monitoring","adult; anxiety disorder; Article; attention bias modification; brain function; clinical article; controlled study; correct response negativity; electrophysiology; error related negativity; female; human; male; nervous system function; priority journal; psychotherapy; response monitoring","2016, Cetacean Research Technology; Bird Technologies; R01MH087623, National Institutes of Health","Dr. Amir was formerly a part owner of Cognitive Retraining Technologies, LLC (“CRT”), a company that marketed anxiety relief products. Dr. Amir’s ownership interest in CRT was extinguished on January 29, 2016, when CRT was acquired by another entity. Dr. Amir has an interest in royalty income generated by the marketing of anxiety relief products by this entity. The specific implementation described in this article is not available for purchase through the company. This project was supported by the National Institutes of Health grant R01MH087623 awarded to Dr. Amir. Appendix A",Article,Scopus,2-s2.0-85028724042
"Pettit J.W., Rey Y., Bechor M., Melendez R., Vaclavik D., Buitron V., Bar-Haim Y., Pine D.S., Silverman W.K.","Can less be more? Open trial of a stepped care approach for child and adolescent anxiety disorders",2017,"Journal of Anxiety Disorders","51",,,"7","13",,,10.1016/j.janxdis.2017.08.004,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028330408&doi=10.1016%2fj.janxdis.2017.08.004&partnerID=40&md5=fefbcffd6dd9e4824614c2a19901e326","This open trial presents a stepped care treatment approach for youths with anxiety disorders. In Step 1, 124 youths (65 girls; M age = 9.7 years) participated in a low intensity computer administered attention bias modification (ABM) protocol. Statistically significant reductions in youth anxiety severity were found following Step 1. Youths and parents were then given the option to not continue with further treatment or step up to a higher intensity cognitive behavioral therapy (CBT) protocol (Step 2). Of 112 youths who completed Step 1, 67 (59.8%) discontinued treatment and 45 (40.2%) stepped up. Co-occurring ADHD and higher anxiety severity at baseline were significantly associated with the decision to step up. Of those youths who completed Step 2, additional statistically significant reductions in youth anxiety severity were found. Across the entire protocol, 68.6% of youths were rated as either very much improved or much improved on the Clinical Global Impressions-Improvement scale. In a hypothetical comparison in which all youths received CBT alone, the stepped care protocol resulted in approximately 50% less time in treatment sessions. These findings support the promise of initiating youth anxiety disorder treatment with low intensity treatment and then stepping up to higher intensity treatment as needed. © 2017 Elsevier Ltd","Adolescents; Anxiety; Attention bias modification; Children; Cognitive behavior therapy","adolescent; anxiety disorder; Article; attention deficit disorder; child; Clinical Global Impression scale; cognitive behavioral therapy; controlled study; disease severity; female; generalized anxiety disorder; human; major clinical study; male; panic; psychotherapy; separation anxiety; social phobia; specific phobia; stepped care treatment",,,Article,Scopus,2-s2.0-85028330408
"Woodward S.H., Jamison A.L., Gala S., Holmes T.H.","Canine companionship is associated with modification of attentional bias in posttraumatic stress disorder",2017,"PLoS ONE","12","10", e0179912,"","",,,10.1371/journal.pone.0179912,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85031120434&doi=10.1371%2fjournal.pone.0179912&partnerID=40&md5=b5d862a32f5d6277a37fc92fbf27a507","Attentional bias towards aversive stimuli has been demonstrated in the anxiety disorders and in posttraumatic stress disorder, and attentional bias modification has been proposed as a candidate treatment. This study rigorously assessed attentional bias towards aversive and pleasant visual imagery associated with the presence or absence of a familiar service canine in 23 veterans with chronic military-related posttraumatic stress disorder. Participants were repeatedly tested with and without their service canines present on two tasks designed to elicit spontaneous visual attention to facial and scenic image pairs, respectively. Each stimulus contrasted an emotive image with a neutral image. Via eye-tracking, the difference in visual attention directed to each image was analyzed as a function of the valence contrast and presence/absence of the canine. Across both tasks, the presence of a familiar service canine attenuated the normative attentional bias towards aversive image content. In the facial task, presence of the service canine specifically reduced attention toward angry faces. In that task, as well, accumulated days with the service canine similarly modulated attention toward facial emotion. The results suggest that the presence of a familiar service canine is associated with attenuation of attentional bias to aversive stimuli in chronic military-service-related posttraumatic stress disorder. Questions remain regarding the generalization of such effects to other populations, their dependence on the familiarity, breed, and training of the canine, and on social context. © 2017, Public Library of Science. All rights reserved. This is an open access article, free of all copyright, and may be freely reproduced, distributed, transmitted, modified, built upon, or otherwise used by anyone for any lawful purpose. The work is made available under the Creative Commons CC0 public domain dedication.",,"amfebutamone; anticonvulsive agent; antidepressant agent; anxiolytic agent; atypical antipsychotic agent; mood stabilizer; opiate; opiate antagonist; serotonin noradrenalin reuptake inhibitor; trazodone; adult; Article; attentional bias; Caucasian; clinical article; dog breed; electrocardiogram; electrodermal response; electromyogram; eye tracking; facial expression; guided imagery; human; human-animal bond; male; posttraumatic stress disorder; psychometry; soldier; visual attention; animal; attention; dog; emotion; pet animal; posttraumatic stress disorder; psychology; statistical bias; task performance; time factor; Adult; Animals; Attention; Bias (Epidemiology); Dogs; Emotions; Facial Expression; Humans; Male; Pets; Stress Disorders, Post-Traumatic; Task Performance and Analysis; Time Factors",,,Article,Scopus,2-s2.0-85031120434
"De Putter L.M.S., Koster E.H.W.","The effects of obsessive-compulsive symptoms and disorder-relevant stimuli on the dynamics of selective attention",2017,"Journal of Obsessive-Compulsive and Related Disorders","15",,,"74","84",,,10.1016/j.jocrd.2017.09.001,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029473968&doi=10.1016%2fj.jocrd.2017.09.001&partnerID=40&md5=84a214846fd5f59c662f83289549f837","Two studies were conducted in order to examine the link between selective attention and trait and state OCD symptoms. Selective attention was both considered as a dynamic process in time by investigating attentional bias scores at trial level and as a stable concept by investigating traditional attentional bias scores. In the first study we investigated the difference in selective attention between a group scoring high (n = 32) and low (n = 32) on contamination fear at a cross-sectional level. In the second study we administered a dot probe task before and after an experimental manipulation of OCD symptoms (n = 35) or a neutral induction (n = 33) in a convenience sample in order to determine the effects of state OCD symptoms on selective attention. In the current studies we found no evidence for either a trait-related presence of attention bias nor for influences of experimentally induced contamination fear. Furthermore, baseline selective attention did not predict symptoms after an OCD symptom induction. These results point to either a more complex relationship between OCD and selective attention than an unidirectional relationship or suggest that selective attention may not be as important for obsessive-compulsive disorders as it is for anxiety disorders. © 2017 Elsevier Inc.","Attentional bias; Contamination fear; Dot probe; Obsessive-compulsive disorder; OCD; Selective attention","adult; Article; attention test; attentional bias; attentional bias variability; attentional interference; contamination fear; controlled study; cross-sectional study; dot probe task; fear; female; human; male; obsessive compulsive disorder; priority journal; selective attention","B/13811/01, Universiteit Gent; AXA Research Fund; Bijzonder Onderzoeksfonds","Funding for this study was provided by a Grant of the Special Research Fund ( BOF ) of Ghent University awarded to Laura De Putter ( B/13811/01 ). BOF had no role in the study design, collection, analysis or interpretation of the data, writing the manuscript, or the decision to submit the paper for publication.",Article,Scopus,2-s2.0-85029473968
"McAllister J., Gascoine S., Carroll A., Humby K., Kingston M., Shepstone L., Risebro H., Mackintosh B., Thompson T.D., Hodgekins J.","Cognitive bias modification for social anxiety in adults who stutter: A feasibility study of a randomised controlled trial",2017,"BMJ Open","7","10", e015601,"","",,,10.1136/bmjopen-2016-015601,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85032342738&doi=10.1136%2fbmjopen-2016-015601&partnerID=40&md5=c74bdd0765fd396e95dbb61456c50498","Objective To determine the feasibility and acceptability of a computerised treatment for social anxiety disorder for adults who stutter including identification of recruitment, retention and completion rates, large cost drivers and selection of most appropriate outcome measure(s) to inform the design of a future definitive trial. Design Two-group parallel design (treatment vs placebo), double-blinded feasibility study. Participants: 31 adults who stutter. Intervention Attention training via an online probe detection task in which the stimuli were images of faces displaying neutral and disgusted expressions. Main outcome measures Psychological measures: Structured Clinical Interview Global Assessment of Functioning score; Liebowitz Social Anxiety Scale; Social Phobia and Anxiety Inventory; State-Trait Anxiety Inventory; Unhelpful Thoughts and Beliefs about Stuttering. Speech fluency: percent syllables stuttered. Economic evaluation: resource use questionnaire; EuroQol three-dimension questionnaire. Acceptability: Likert Scale questionnaire of experience of trial, acceptability of the intervention and randomisation procedure. Results Feasibility of recruitment strategy was demonstrated. Participant feedback indicated that the intervention and definitive trial, including randomisation, would be acceptable to adults who stutter. Of the 31 participants who were randomised, 25 provided data at all three data collection points. Conclusions The feasibility study informed components of the intervention. Modifications to the design are needed before a definitive trial can be undertaken. Trial registration number I SRCTN55065978; Post-results. © 2017 Article author(s) (or their employer(s) unless otherwise stated in the text of the article). All rights reserved. No commercial use is permitted unless otherwise expressly granted.","Anxiety Disorders; Mental Health; Speech Pathology","placebo; adult; Article; clinical article; cognitive bias; controlled study; double blind procedure; economic evaluation; feasibility study; female; fluency disorder; Global Assessment of Functioning; human; Liebowitz Social Anxiety Scale; Likert scale; male; outcome assessment; parallel design; psychological aspect; questionnaire; randomized controlled trial; social phobia; speech; State Trait Anxiety Inventory; structured interview; stuttering","NIHR, National Institute for Health Research; PB-PG-0610-22225, NIHR, National Institute for Health Research; DH, Department of Health","Funding This paper presents independent research funded by the National Institute for Health Research (NIHR) under its Research for Patient Benefit (RfPB) Programme (Grant Reference Number PB-PG-0610-22225). The views expressed are those of the author(s) and not necessarily those of the NHS, the NIHR or the Department of Health.",Article,Scopus,2-s2.0-85032342738
"Goldman K.J., Shulman C., Bar-Haim Y., Abend R., Burack J.A.","Attention allocation to facial expressions of emotion among persons with Williams and Down syndromes",2017,"Development and Psychopathology","29","4",,"1189","1197",,,10.1017/S0954579416001231,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85007496251&doi=10.1017%2fS0954579416001231&partnerID=40&md5=62aff563f1f212b2acf84b53b77184c5","Individuals with Williams syndrome and those with Down syndrome are both characterized by heightened social interest, although the manifestation is not always similar. Using a dot-probe task, we examined one possible source of difference: allocation of attention to facial expressions of emotion. Thirteen individuals with Williams syndrome (mean age = 19.2 years, range = 10-28.6), 20 with Down syndrome (mean age = 18.8 years, range = 12.1-26.3), and 19 typically developing children participated. The groups were matched for mental age (mean = 5.8 years). None of the groups displayed a bias to angry faces. The participants with Williams syndrome showed a selective bias toward happy faces, whereas the participants with Down syndrome behaved similarly to the typically developing participants with no such bias. Homogeneity in the direction of bias was markedly highest in the Williams syndrome group whose bias appeared to result from enhanced attention capture. They appeared to rapidly and selectively allocate attention toward positive facial expressions. The complexity of social approach behavior and the need to explore other aspects of cognition that may be implicated in this behavior in both syndromes is discussed. © Copyright Cambridge University Press 2016.",,,,,Article,Scopus,2-s2.0-85007496251
"Miskowiak K.W., Svendsen A.M.B., Harmer C.J., Elliott R., Macoveanu J., Siebner H.R., Kessing L.V., Vinberg M.","Differences in neural and cognitive response to emotional faces in middle-aged dizygotic twins at familial risk of depression",2017,"Psychological Medicine","47","13",,"2345","2357",,,10.1017/S0033291717000861,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017470709&doi=10.1017%2fS0033291717000861&partnerID=40&md5=0790b6f5e87a5995f7ae64b1dec445f3","Background Negative bias and aberrant neural processing of emotional faces are trait-marks of depression but findings in healthy high-risk groups are conflicting. Methods Healthy middle-aged dizygotic twins (N = 42) underwent functional magnetic resonance imaging (fMRI): 22 twins had a co-twin history of depression (high-risk) and 20 were without co-twin history of depression (low-risk). During fMRI, participants viewed fearful and happy faces while performing a gender discrimination task. After the scan, they were given a faces dot-probe task, a facial expression recognition task and questionnaires assessing mood, personality traits and coping. Results Unexpectedly, high-risk twins showed reduced fear vigilance and lower recognition of fear and happiness relative to low-risk twins. During face processing in the scanner, high-risk twins displayed distinct negative functional coupling between the amygdala and ventral prefrontal cortex and pregenual anterior cingulate. This was accompanied by greater fear-specific fronto-temporal response and reduced fronto-occipital response to all emotional faces relative to baseline. The risk groups showed no differences in mood, subjective state or coping. Conclusions Less susceptibility to fearful faces and negative cortico-limbic coupling during emotional face processing may reflect neurocognitive compensatory mechanisms in middle-aged dizygotic twins who remain healthy despite their familial risk of depression. Copyright © Cambridge University Press 2017.","Depression; emotional faces; emotional processing; endophenotype; fMRI; high-risk; resilience; twins",,,,Article,Scopus,2-s2.0-85017470709
"Lazarov A., Abend R., Seidner S., Pine D.S., Bar-Haim Y.","The Effects of Training Contingency Awareness During Attention Bias Modification on Learning and Stress Reactivity",2017,"Behavior Therapy","48","5",,"638","650",,1,10.1016/j.beth.2017.03.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017313507&doi=10.1016%2fj.beth.2017.03.002&partnerID=40&md5=9523032dbb7ea921af105a71d2751ecd","Current attention bias modification (ABM) procedures are designed to implicitly train attention away from threatening stimuli with the hope of reducing stress reactivity and anxiety symptoms. However, the mechanisms underlying effective ABM delivery are not well understood, with awareness of the training contingency suggested as one possible factor contributing to ABM efficacy. Here, 45 high-anxious participants were trained to divert attention away from threat in two ABM sessions. They were randomly assigned to one of three training protocols: an implicit protocol, comprising two standard implicit ABM training sessions; an explicit protocol, comprising two sessions with explicit instruction as to the attention training contingency; and an implicit-explicit protocol, in which participants were not informed of the training contingency in the first ABM session and informed of it at the start of the second session. We examined learning processes and stress reactivity following a stress-induction task. Results indicate that relative to implicit instructions, explicit instructions led to stronger learning during the first training session. Following rest, the explicit and implicit groups exhibited consolidation-related improvement in performance, whereas no such improvement was noted for the implicit-explicit group. Finally, although stress reactivity was reduced after training, contingency awareness did not yield a differential effect on stress reactivity measured using both self-reports and skin conductance, within and across sessions. These results suggest that explicit ABM administration leads to greater initial learning during the training protocol while not differing from standard implicit administration in terms of off-line learning and stress reactivity. © 2017","anxiety; attentional training; explicit information; learning; stress reactivity","anxiety; attentional bias; awareness; clinical article; controlled clinical trial; controlled study; human; learning; randomized controlled trial; rest; self report; skin conductance; stress",,,Article,Scopus,2-s2.0-85017313507
"Fodor L.A., Cosmoiu A., Podina I.R.","Cognitive bias modification for attention to and approach of appetitive food stimuli: A meta analysis",2017,"Journal of Evidence-Based Psychotherapies","17","2",,"85","104",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85036645497&partnerID=40&md5=73b4fa5a48dab60a38fe1e8ae0acc4ab","Background and aims: Cognitive bias modification (CBM) interventions for attention to and approach of appetitive food stimuli, especially approachavoidance training (AAT) and attention bias modifications (ABM), have received a lot of attention lately. However, as far as we know the effect of these interventions has not been investigated so far by means of a quantitative meta-analysis. Methods: We included randomized controlled trials (RCTs) on AAT/ABM interventions for attention to and approach of appetitive food stimuli. A random-effects model was used for pooling the effect sizes, which were calculated for bias scores and food consumption/craving (FC/C) outcomes at post-intervention, and we also examined risk of bias, publication bias, and possible other moderators. Results: We included 15 RCTs, of which seven RCTs employed an AAT intervention and eight RCTs employed an ABM intervention. At postintervention, there were significant effects sizes favoring CBM in terms of bias scores (g = 0.57; 95% CI: 0.35 to 0.79) and FC/C outcomes (g = 0.25; 95% CI: 0.12 to 0.38). The type of bias intervention and the type of control group were significant moderators of the effect size for the bias scores outcome. The risk of bias was uncertain in most of the trials and we found no evidence of publication bias. Conclusions: Overall, these findings indicate that CBM interventions are showing promise in the overweight/obese and maladaptive eating domains. However, the quality of the RCTs entails a more cautious interpretation of these effect sizes. Other limitations and possible implications are discussed. © 2017, The Editors.","Approach avoidance; Attentional bias; Cognitive bias modification; Maladaptive eating",,"PN II-RU-TE-2014-4-2481, UEFISCDI, Unitatea Executiva pentru Finantarea Invatamantului Superior, a Cercetarii, Dezvoltarii si Inovarii; 293/01/10/2015, UEFISCDI, Unitatea Executiva pentru Finantarea Invatamantului Superior, a Cercetarii, Dezvoltarii si Inovarii; CNCS, Consiliul National al Cercetarii Stiintifice","This work was supported by a grant of the Romanian National Authority for Scientific Research and Innovation, CNCS—UEFISCDI, project number PN II-RU-TE-2014-4-2481, contract number 293/01/10/2015, coordinated by I.R.P. The funder had no involvement in the study design, collection, analysis, and interpretation of data, writing of the report, and in the decision to submit the article for publication.",Article,Scopus,2-s2.0-85036645497
"Schmitz F., Svaldi J.","Effects of Bias Modification Training in Binge Eating Disorder",2017,"Behavior Therapy","48","5",,"707","717",,1,10.1016/j.beth.2017.04.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018925098&doi=10.1016%2fj.beth.2017.04.003&partnerID=40&md5=4faea634d1624e68add6dca805072966","Food-related attentional biases have been identified as maintaining factors in binge eating disorder (BED) as they can trigger a binge episode. Bias modification training may reduce symptoms, as it has been shown to be successful in other appetitive disorders. The aim of this study was to assess and modify food-related biases in BED. It was tested whether biases could be increased and decreased by means of a modified dot-probe paradigm, how long such bias modification persisted, and whether this affected subjective food craving. Participants were randomly assigned to a bias enhancement (attend to food stimulus) group or to a bias reduction (avoid food stimulus) group. Food-related attentional bias was found to be successfully reduced in the bias-reduction group, and effects persisted briefly. Additionally, subjective craving for food was influenced by the intervention, and possible mechanisms are discussed. Given these promising initial results, future research should investigate boundary conditions of the experimental intervention to understand how it could complement treatment of BED. © 2017","attentional bias; bias modification; binge eating disorder; dot-probe paradigm","adult; arousal; Article; attentional bias; bias modification training; binge eating disorder; clinical article; controlled study; data analysis; dot probe paradigm; evidence based medicine; female; food craving; food related attentional bias; food stimulus; human; male; psychotherapy; questionnaire; reinforcement; reliability; risk factor; stimulus; study design; subjective food craving; visual analog scale",,,Article,Scopus,2-s2.0-85018925098
"van Duijvenbode N., Didden R., Korzilius H.P.L.M., Engels R.C.M.E.","The Role of Executive Control and Readiness to Change in Problematic Drinkers with Mild to Borderline Intellectual Disability",2017,"Journal of Applied Research in Intellectual Disabilities","30","5",,"885","897",,,10.1111/jar.12280,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995602499&doi=10.1111%2fjar.12280&partnerID=40&md5=a4db21cd2bcda5c96f8cf51b8366be68","Background: Problematic alcohol use is associated with neuropsychological consequences, including cognitive biases. The goal of the study was to explore the moderating role of executive control and readiness to change on the relationship between alcohol use and cognitive biases in light and problematic drinkers with and without mild to borderline intellectual disability (MBID). Method: Participants (N = 112) performed the visual dot probe task to measure the strength of the cognitive biases. Executive control was measured using two computerised tasks for working memory capacity (Corsi block-tapping task) and inhibitory control (Go/No-go task). Readiness to change was measured using the Readiness to Change Questionnaire. Results: No cognitive biases or executive dysfunctions were found in problematic drinkers. Working memory capacity and inhibitory control were impaired among individuals with MBID, irrespective of severity of alcohol use-related problems. Executive control and readiness to change did not moderate the relationship between alcohol use and cognitive biases. Conclusion: The results fail to support the dual-process models of addiction, but results need to be treated with caution given the problematic psychometric qualities of the visual dot probe task. Implementing a neurocognitive assessment and protocols in the treatment of substance use disorders seems premature. © 2016 John Wiley & Sons Ltd","addiction; cognitive biases; executive control; mild to borderline intellectual disability; readiness to change",,,,Article,Scopus,2-s2.0-84995602499
"Rieger E., Dolan A., Thomas B., Bell J.","The effect of interpersonal rejection on attentional biases regarding thin-ideal and non-thin images: The moderating role of body weight- and shape-based self-worth",2017,"Body Image","22",,,"78","86",,,10.1016/j.bodyim.2017.06.002,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021919655&doi=10.1016%2fj.bodyim.2017.06.002&partnerID=40&md5=ecc2c079f10543afe359181eaa52b8f9","Interpersonal dysfunction and weight/shape-based self-worth have been implicated as key constructs for eating disorders, although the relationship between these two concepts is under-researched. This study investigated the moderating role of weight/shape-based self-worth in terms of the impact of interpersonal rejection on attentional bias regarding thin-ideal and non-thin images. Participants were 94 females without an eating disorder, who were exposed to either interpersonal rejection or acceptance (using the Cyberball paradigm), and subsequently assessed in terms of their attentional biases regarding thin-ideal and non-thin images. Results revealed that weight/shape-based self-worth moderated the relationship between interpersonal rejection/acceptance and attentional biases for thin-ideal (but not non-thin) images. Specifically, participants with a greater tendency to base their self-worth on weight/shape demonstrated reduced avoidance of thin-ideal images when rejected relative to those who were accepted. The findings support the role of interpersonal rejection in eliciting attentional disturbances among those with higher body weight/shape-based self-worth. © 2017 Elsevier Ltd","Attentional bias; Contingencies of self-worth; Dot probe; Eating disorders; Interpersonal rejection; Weight/shape overconcern",,,,Article,Scopus,2-s2.0-85021919655
"Burris J.L., Barry-Anwar R.A., Sims R.N., Hagerman R.J., Tassone F., Rivera S.M.","Children With Fragile X Syndrome Display Threat-Specific Biases Toward Emotion",2017,"Biological Psychiatry: Cognitive Neuroscience and Neuroimaging","2","6",,"487","492",,1,10.1016/j.bpsc.2017.06.003,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85028040726&doi=10.1016%2fj.bpsc.2017.06.003&partnerID=40&md5=4f51054ec5f71df3a6da06ff841b33fc","Background Fragile X syndrome (FXS) is the most common form of inherited intellectual disability. FXS is caused by a silencing of the FMR1 gene that results in a loss or absence of the gene's protein product, fragile X mental retardation protein. The phenotype of FXS is consistently associated with heightened anxiety, although no previous study has investigated attentional bias toward threat, a hallmark of anxiety disorders, in individuals with FXS. Methods The current study employed a passive-viewing eye-tracking version of the dot probe task to investigate attentional biases toward emotional faces in young children with FXS (n = 47) and without FXS (n = 94). Results We found that the FXS group showed a significantly greater bias toward threatening emotions than toward positive emotions. This threat specificity was not seen in either a mental age–matched group or a chronological age–matched group of typically developing children. Unlike the typically developing groups, the FXS group showed no bias toward positive emotion. Conclusions The current study shows that children with FXS have a significant bias toward threatening information, an attentional profile that has been linked with anxiety. It also supports the use of eye-tracking methodology to index neural and attentional responses in young children with FXS. © 2017 Society of Biological Psychiatry","Anxiety; Attention; Emotion; Eye tracking; Fragile X syndrome; Threat processing","age; Article; attentional bias; Autism Diagnostic Observation Schedule; child; child behavior; clinical article; controlled study; emotion; eye tracking; facial recognition; female; fragile X syndrome; human; infant; latent period; male; mental task; priority journal; threat","Novartis; SMR, National Institutes of Health; R01 HD056031, National Institutes of Health; Roche","This research was supported by a grant from the National Institute of Health (Grant No. R01 HD056031 to SMR). We thank Kimberly Gaul for her help with testing and recruitment. FT has received funds from Asuragen for a project on FXS. RJH has received funding from treatment trials in FXS from Roche, Novartis, Neuren, and Alcobra that are unrelated to this study. RJH has also consulted on FXS treatment with Zynerba and Ovid. All other authors report no biomedical financial interests or potential conflicts of interest.",Article,Scopus,2-s2.0-85028040726
"Lochbuehler K., Wileyto E.P., Tang K.Z., Mercincavage M., Cappella J.N., Strasser A.A.","Do Current and Former Cigarette Smokers have an Attentional Bias for E-cigarette Cues?",2017,"Journal of Psychopharmacology",,,,"","",,,10.1177/0269881117728418,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042398241&doi=10.1177%2f0269881117728418&partnerID=40&md5=77c29a3a7c036827729a2fa4c42c2255","The similarity of e-cigarettes to tobacco cigarettes with regard to shape and usage raises the question of whether e-cigarette cues have the same incentive motivational properties as tobacco cigarette cues. The objective of the present study was to examine whether e-cigarette cues capture and hold smokers’ and former smokers’ attention and whether the attentional focus is associated with subsequent craving for tobacco cigarettes. It was also examined whether device type (cigalike or mod) moderated this relationship. Participants (46 current daily smokers, 38 former smokers, 48 non-smokers) were randomly assigned to a device type condition in which their eye-movements were assessed while completing a visual probe task. Craving was assessed before and after the task. Smokers, but not former or non-smokers, maintained their gaze longer on e-cigarette than on neutral pictures (p = 0.004). No difference in dwell time was found between device type. None of the smoking status groups showed faster initial fixations or faster reaction times to e-cigarette compared with neutral cues. Baseline craving was associated with dwell time on e-cigarette cues (p = 0.004). Longer dwell time on e-cigarette cues was associated with more favorable attitudes towards e-cigarettes. These findings indicate that e-cigarette cues may contribute to craving for tobacco cigarettes and suggest the potential regulation of e-cigarette marketing. © 2017, The Author(s) 2017.","Attention; craving; e-cigarette; eye-tracking",,,,Article in Press,Scopus,2-s2.0-85042398241
